Tilda UID;Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;Price Old;Editions;Modifications;External ID;Parent UID;Characteristics:ccal;Characteristics:prot;Characteristics:fat;Characteristics:carb;Weight;Length;Width;Height
4,48798E+11;;;;dishes;lite-4-1;Овощной микс;Салат, огурец, томат, перец, редис;https://static.tildacdn.com/tild3363-3233-4934-b961-343264616139/Rectangle_28.png;0;;;;;knYvXspE5R6Xp3HJaILz;;;;;;120;0;0;0
5,73761E+11;;;;dishes;lite-4-2;Яйцо по Бельгийски с овощами;Яйцо, горошек, брокколи;https://static.tildacdn.com/tild3163-3637-4938-b662-623335663232/Rectangle_29.png;0;;;;;nnUUXmkc3HcxIngpUREB;;;;;;200;0;0;0
8,0453E+11;;;;dishes;lite-4-3;Митболлы с грибным соусом;Мясной фарш, греча, грибы, сливки, молоко;https://static.tildacdn.com/tild3333-3835-4163-b830-353032383663/Rectangle_30.png;0;;;;;UHVn2kRV0eghtLl2JMZe;;;;;;250;0;0;0
8,7134E+11;;;;dishes;lite-4-4;Куриный бульон с яйцом;Курица, макарошки, яйцо;https://static.tildacdn.com/tild3730-3836-4663-a432-623461336563/Mask_Group.png;0;;;;;Om5EYSN4UDSu56sG2rTo;;;;;;280;0;0;0
7,29666E+11;;;;dishes;lite-4-5;Овощное рагу;Картофель стоун, морковь, кабачки, перец, грибы;https://static.tildacdn.com/tild3935-6439-4532-b134-316339393163/Rectangle_10.png;0;;;;;8cE3bvkChILfBPpjeE07;;;;;;250;0;0;0
6,36708E+11;;;;dishes;lite-4-6;Свекольная котлета с фасолью ассорти;Свекла, зелень, куриное филе, специи, красная и белая фасоль, томатный соус;https://static.tildacdn.com/tild6230-3932-4262-b962-363237373134/Rectangle_40.png;0;;;;;7DFyMTckeC3gcuUtk0yK;;;;;;250;0;0;0
1,13082E+11;;;;dishes;lite-4-dessert;Пирог малиновый с миндалем;Малина, сахар, мука, масло, лимонный сок, яичный желток, миндальная мука, крахмал кукурузный;https://static.tildacdn.com/tild3032-6238-4035-b464-656233663436/Rectangle_19.png;0;;;;;TzA0kGh3XsHliyL8XTrh;;;;;;60;0;0;0
4,78652E+11;;;;dishes;lite-5-1;Греческий салат;Салат, огурец, томат, перец, лук порей, оливки, маслины, сыр, кунжут;https://static.tildacdn.com/tild3535-6166-4733-b862-313231323063/Rectangle_10.png;0;;;;;tgthi3yRJRB7a2y83Hfs;;;;;;120;0;0;0
6,65847E+11;;;;dishes;lite-5-2;Татаки из тунца с печеным картофелем;Тунец филе, кунжут, соевый соус, картофель стоун, специи, зелень;https://static.tildacdn.com/tild3930-3133-4937-b733-633837663033/Rectangle_28.png;0;;;;;zgcRsBhEJcxNNf6Ueu9Y;;;;;;220;0;0;0
7,56555E+11;;;;dishes;lite-5-3;Домашний фондю с фруктами;Шоколад, какао, молоко, фрукты;https://static.tildacdn.com/tild3464-3332-4538-b535-636533336461/Rectangle_30.png;0;;;;;XBouiRiAFEeV7b18fV7p;;;;;;200;0;0;0
1,70051E+11;;;;dishes;lite-5-4;Уха по Фински;Филе трески, филе тунца, томат, лук порей, сливки;https://static.tildacdn.com/tild3865-3733-4561-a366-616563623165/Mask_Group.png;0;;;;;s3bIEv0xe7ktgfSRjcml;;;;;;280;0;0;0
2,28047E+11;;;;dishes;lite-5-5;Фунчоза Ло-мейн;"Фунчеза, соус ""ло-мейн"", морковь, лук, куриное филе";https://static.tildacdn.com/tild3361-3866-4533-a265-373263343238/Rectangle_29.png;0;;;;;oAUY9zmEZrD7HdyytJmU;;;;;;250;0;0;0
9,926E+11;;;;dishes;lite-5-6;Фаршированные каннелони под сыром;Каннеллони, куриный фарш, специи, зеленые, сыр, лук, чеснок;https://static.tildacdn.com/tild3238-6365-4733-b666-346138343832/Rectangle_41.png;0;;;;;VBSoOiKBkd0lCMzOSeIa;;;;;;250;0;0;0
4,49389E+11;;;;dishes;lite-5-dessert;Медовик;"Мука, молоко, сахар, сгущенка, меланж, вода, масло, мед, соль, сироп ""крем-брюле""";https://static.tildacdn.com/tild3833-3438-4061-a137-343065376632/Rectangle_20.png;0;;;;;tahTHVj40PFRI93T3Kyk;;;;;;80;0;0;0
7,61729E+11;;;;dishes;lite-6-1;Блинчики с ветчиной и сыром;Молоко, яйцо, ветчина индейки, сыр, соус, мука рисовая;https://static.tildacdn.com/tild3362-3865-4163-a638-353734656132/Rectangle_28.png;0;;;;;fg11m657etDVNulX7R5x;;;;;;200;0;0;0
8,76055E+11;;;;dishes;lite-6-2;Куриный шашлычок с размарином и пряным картофелем;Филе куриное, специи, картофель, пряности;https://static.tildacdn.com/tild6466-3664-4462-a232-353630393736/Rectangle_10.png;0;;;;;ogjf2vYXV6GEBmLRLNc3;;;;;;250;0;0;0
